s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS,ZONE_1
 8.5339745E+001, 2.1700245E+001,-8.5673019E+000,-2.4143912E-003,-1.2080332E+001,-2.4013138E-003, 4.9150612E-001, 0.0000000E+000, 1.5373283E+000, 1.5393018E+000, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.5840669E+004
 8.6672302E+001, 2.1761098E+001,-8.6247488E+000,-2.4147634E-003,-1.2059223E+001,-2.3988648E-003, 4.9751669E-001, 0.0000000E+000, 1.5656592E+000, 1.5698292E+000, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.5911144E+004
 8.8004852E+001, 2.1690280E+001,-8.6511971E+000,-2.3930302E-003,-1.2134587E+001,-2.4213598E-003, 4.3365799E-001, 0.0000000E+000, 1.3387756E+000, 1.3333394E+000, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.5972992E+004
 8.9346375E+001, 2.1709693E+001,-8.6765504E+000,-2.4101804E-003,-1.2266189E+001,-2.4040781E-003, 3.8333257E-001, 0.0000000E+000, 1.1339599E+000, 1.1454721E+000, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.6027618E+004
 9.0671806E+001, 2.1751064E+001,-8.7453602E+000,-2.4092626E-003,-1.2157294E+001,-2.4051752E-003, 3.9841663E-001, 0.0000000E+000, 1.2411234E+000, 1.2420121E+000, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.6083914E+004
 9.2003990E+001, 2.1682791E+001,-8.7525636E+000,-2.4346429E-003,-1.2141962E+001,-2.3808577E-003, 3.8116258E-001, 0.0000000E+000, 1.1637083E+000, 1.1646124E+000, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.6138117E+004
 9.3343880E+001, 2.1710874E+001,-8.7836030E+000,-2.4167776E-003,-1.1929405E+001,-2.3971314E-003, 4.6506467E-001, 0.0000000E+000, 1.4554087E+000, 1.4581167E+000, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.6204380E+004
 9.4677216E+001, 2.1697762E+001,-8.8263449E+000,-2.4292244E-003,-1.1937818E+001,-2.3850147E-003, 4.4352042E-001, 0.0000000E+000, 1.3747434E+000, 1.3723050E+000, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.6267540E+004
 9.6002609E+001, 2.1700907E+001,-8.8714400E+000,-2.4260681E-003,-1.2283174E+001,-2.3882989E-003, 2.9348939E-001, 0.0000000E+000, 8.3421775E-001, 8.3496799E-001, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.6309024E+004
 9.7339363E+001, 2.1705121E+001,-8.8999324E+000,-2.4210304E-003,-1.2425117E+001,-2.3931200E-003, 2.2919680E-001, 0.0000000E+000, 6.0569762E-001, 6.0445496E-001, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.6341768E+004
 9.8677025E+001, 2.1725030E+001,-8.9473892E+000,-2.4225351E-003,-1.2575029E+001,-2.3927751E-003, 1.4477419E-001, 0.0000000E+000, 3.3877715E-001, 3.4257023E-001, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.6362357E+004
 1.0000723E+002, 2.1686804E+001,-8.9333093E+000,-2.4167908E-003,-1.2393722E+001,-2.3974767E-003, 2.2221153E-001, 0.0000000E+000, 5.7718429E-001, 5.7716949E-001, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 2.6393852E+004
